subhalo_id,simulation,snapshot,redshift,n_stellar_particles,n_disk_particles,M_star_Msun,R_d_kpc,aperture_R_in_kpc,aperture_R_out_kpc,A1_literature,A2_literature,A1_integral_area,A1_integral_jog,A2_integral_area,A2_integral_jog,A1_bootstrap_mean,A1_bootstrap_std,A2_bootstrap_mean,A2_bootstrap_std,dominant_mode,bar_length_kpc,bar_angle_deg,pattern_coherence,phase_scatter_m2_deg,bar_length_bootstrap_mean,bar_length_bootstrap_std,v_max_kms,R_v_max_kpc
633516,L35n2160TNG,99,2.22045e-16,89290,76401,5.38622e+09,3.51625,nan,nan,0.215176,0.142307,0.21307,0.214919,0.13456,0.141959,0.218348,0.0124435,0.1486,0.0116321,1,11.4375,-38.2547,0.909091,50.3524,13.5225,0.895803,100.169,16.49
633614,L35n2160TNG,99,2.22045e-16,171710,158709,1.02554e+10,3.58424,nan,nan,0.0685581,0.0765065,0.0679438,0.069404,0.0801966,0.073164,0.0725918,0.00752771,0.0832295,0.00745429,2,14.8125,38.2966,0.333333,55.4137,14.7994,0.0689174,121.612,19.61
633726,L35n2160TNG,99,2.22045e-16,95537,79501,5.77637e+09,3.77181,nan,nan,0.1652,0.318306,0.169188,0.160828,0.328707,0.311725,0.174137,0.0117811,0.319794,0.0113279,2,11.8125,14.2571,0.68,33.5653,14.8125,0,93.4542,17.27
633843,L35n2160TNG,99,2.22045e-16,70309,60739,4.27704e+09,2.58392,nan,nan,0.190033,0.102803,0.18549,0.195483,0.113922,0.0914628,0.195203,0.0161907,0.117626,0.0128364,1,2.8125,13.9094,0.272727,46.3044,14.0981,0.908242,110.782,18.83
633963,L35n2160TNG,99,2.22045e-16,177280,172113,1.05941e+10,1.93084,nan,nan,0.105823,0.131621,0.112971,0.101693,0.134572,0.129815,0.107443,0.00745777,0.133556,0.00657755,1,14.8125,27.9842,0,69.4432,14.7806,0.144156,132.199,6.17977
634046,L35n2160TNG,99,2.22045e-16,167777,154627,9.87624e+09,4.04392,nan,nan,0.0500532,0.136853,0.048416,0.0513628,0.137672,0.136332,0.0577116,0.00604875,0.139298,0.00667453,1,0,-44.8111,0,51.3014,1.50188,3.48548,115.764,12.59
634142,L35n2160TNG,99,2.22045e-16,102646,93071,6.19229e+09,2.92988,nan,nan,0.106486,0.126818,0.114278,0.107465,0.12854,0.125173,0.119606,0.0108933,0.132683,0.0107337,1,14.8125,34.0525,0.428571,58.8044,14.8125,0,91.9862,9.47
634283,L35n2160TNG,99,2.22045e-16,117473,109987,7.00995e+09,3.87223,nan,nan,0.0924842,0.256697,0.0895665,0.0933038,0.280746,0.247432,0.0986875,0.00829135,0.260482,0.00849539,2,11.0625,24.1479,0.4,46.9746,14.8125,0,100.398,18.83
634435,L35n2160TNG,99,2.22045e-16,65900,58977,3.98318e+09,1.5084,nan,nan,0.0500647,0.373422,0.0509863,0.0487349,0.374226,0.372576,0.0716845,0.0173995,0.37479,0.0206781,2,12.9375,32.3626,0.8,31.485,14.7375,0.175891,38.5509,1.19403
634631,L35n2160TNG,99,2.22045e-16,237494,223359,1.39522e+10,2.10634,nan,nan,0.0713575,0.0712458,0.0777545,0.0687256,0.0786131,0.0679593,0.0749998,0.00584039,0.0740686,0.00563952,1,13.3125,9.53724,0,66.1227,14.3325,0.486287,133.327,5.40521
634707,L35n2160TNG,99,2.22045e-16,203289,196378,1.21322e+10,2.96037,nan,nan,0.129354,0.0634644,0.136611,0.122905,0.0590819,0.0674277,0.132127,0.00689683,0.0692725,0.00646103,1,14.0625,-34.8213,1,34.7751,13.9809,1.15971,132.454,11.03
634801,L35n2160TNG,99,2.22045e-16,89593,79011,5.43518e+09,1.79007,nan,nan,0.113744,0.106164,0.110735,0.115844,0.107708,0.104556,0.115738,0.0102993,0.109359,0.0104736,1,13.3125,30.0248,0.642857,61.9909,14.7206,0.165585,86.8028,7.41029
634967,L35n2160TNG,99,2.22045e-16,126605,116021,7.64465e+09,2.71017,nan,nan,0.0885021,0.235897,0.0901447,0.0862737,0.239903,0.231518,0.0934253,0.00853095,0.237539,0.00962894,2,14.8125,3.78478,0.821429,34.7605,14.8106,0.0264501,99.6254,9.47
635113,L35n2160TNG,99,2.22045e-16,99480,86960,5.87748e+09,1.4691,nan,nan,0.0885784,0.0406228,0.0898513,0.0863664,0.0413504,0.0392368,0.0921127,0.0134631,0.0523611,0.0115373,2,13.6875,33.219,0.866667,32.9282,14.7506,0.170934,90.8307,2.07539
635267,L35n2160TNG,99,2.22045e-16,106025,101240,6.26483e+09,1.14201,nan,nan,0.0671319,0.107481,0.0744394,0.0562194,0.100635,0.117898,0.0732529,0.00964132,0.112792,0.00962693,1,14.8125,-9.83429,0.1875,46.2747,14.8106,0.0264501,111.132,2.39994
635467,L35n2160TNG,99,2.22045e-16,93917,77621,5.73298e+09,3.12401,nan,nan,0.178728,0.09427,0.187128,0.17554,0.0943176,0.0934834,0.184963,0.0104963,0.102924,0.0105263,2,13.3125,-58.4404,0.666667,62.7604,14.8125,0,76.3385,8.69
635613,L35n2160TNG,99,2.22045e-16,102810,98483,6.07756e+09,2.58867,nan,nan,0.121766,0.0826576,0.116522,0.123724,0.0874561,0.0808299,0.126098,0.00969122,0.0890194,0.00819177,1,14.8125,16.4477,0.428571,47.8544,14.7825,0.108426,108.689,7.13
635674,L35n2160TNG,99,2.22045e-16,111794,102199,6.54812e+09,3.79673,nan,nan,0.116149,0.302885,0.118956,0.116723,0.301775,0.302932,0.122091,0.0105717,0.304887,0.00982079,1,2.8125,-16.8609,0.428571,50.0497,14.8125,0,110.847,13.37
635817,L35n2160TNG,99,2.22045e-16,152207,140153,9.18053e+09,3.95096,nan,nan,0.0866677,0.143058,0.0822973,0.0860947,0.145842,0.143144,0.0937886,0.00832221,0.145184,0.00747456,2,11.8125,5.66117,1,43.1447,12.66,0.52129,116.068,14.93
635905,L35n2160TNG,99,2.22045e-16,170595,154689,1.02017e+10,3.15202,nan,nan,0.141989,0.159754,0.145852,0.141814,0.15831,0.159802,0.14425,0.00880203,0.162754,0.00912983,2,14.8125,-47.2961,0.764706,26.0135,14.8125,0,111.223,10.25
635998,L35n2160TNG,99,2.22045e-16,58406,55868,3.50813e+09,2.11175,nan,nan,0.15658,0.0906905,0.162544,0.157131,0.0919668,0.0915054,0.16055,0.0129071,0.0959343,0.011301,1,14.4375,-28.7358,0.666667,49.9558,14.7863,0.109395,79.1052,6.07396
636201,L35n2160TNG,99,2.22045e-16,178755,140594,1.05103e+10,1.85776,nan,nan,0.0936067,0.094714,0.092364,0.095337,0.0962482,0.0924479,0.0972135,0.00990192,0.0983986,0.00926119,2,11.4375,31.9161,1,23.4036,14.7769,0.143275,100.03,1.93621
636313,L35n2160TNG,99,2.22045e-16,119347,114763,7.12661e+09,2.46231,nan,nan,0.0949027,0.081562,0.0946618,0.0952149,0.0765289,0.0819986,0.0976996,0.00907439,0.0861545,0.00879336,1,11.4375,1.57394,0,49.967,14.6006,0.527108,112.117,6.25956
636468,L35n2160TNG,99,2.22045e-16,83157,68449,5.11876e+09,1.7709,nan,nan,0.19846,0.102393,0.213099,0.18457,0.103303,0.101575,0.200695,0.0108619,0.10589,0.0121927,1,14.0625,-12.9793,0.1875,59.962,14.7487,0.159584,86.0153,4.05347
636640,L35n2160TNG,99,2.22045e-16,258785,236643,1.53296e+10,3.83387,nan,nan,0.0412308,0.100224,0.043995,0.0392555,0.0999274,0.100048,0.0469087,0.00484161,0.102454,0.00565741,2,14.8125,29.8461,0.9,54.9647,14.7056,0.16928,120.008,11.81
636729,L35n2160TNG,99,2.22045e-16,171722,160905,1.02418e+10,2.37143,nan,nan,0.0471741,0.0550538,0.0443423,0.0497575,0.0558412,0.0543451,0.0517787,0.00669002,0.0595493,0.00725143,1,14.0625,-20.5857,1,37.861,14.8031,0.0695269,131.676,11.9523
636848,L35n2160TNG,99,2.22045e-16,179012,172086,1.05066e+10,1.32314,nan,nan,0.0643704,0.503849,0.0685148,0.0610119,0.508763,0.500218,0.0658219,0.00551615,0.50448,0.00605267,2,13.3125,24.2398,0.413793,51.6379,14.7956,0.077739,133.747,3.52554
637199,L35n2160TNG,99,2.22045e-16,117631,113861,6.94631e+09,1.66478,nan,nan,0.170157,0.124206,0.169184,0.170779,0.120791,0.126389,0.172819,0.0115703,0.127711,0.0111896,1,14.0625,-19.2439,0.136364,56.843,14.7656,0.129565,113.655,5.37093
637631,L35n2160TNG,99,2.22045e-16,175166,160695,1.04503e+10,2.12885,nan,nan,0.0859116,0.043798,0.0853759,0.0863986,0.043135,0.0447385,0.0876511,0.00818295,0.0494655,0.00726742,1,14.8125,-16.1229,0.166667,54.8943,14.7619,0.174597,118.968,5.45923
637695,L35n2160TNG,99,2.22045e-16,136046,124890,8.18324e+09,3.62291,nan,nan,0.0926691,0.165509,0.086992,0.093249,0.174268,0.163771,0.101549,0.00756989,0.169805,0.00940101,1,8.0625,-6.01869,0.333333,56.432,14.6962,0.589824,118.233,17.27
